Название,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Тальятелле с белыми грибами,,,,
Суп из лесных грибов с картофельными ньокками,,,,
Крем-суп из каштанов с гребешком и черным трюфелем,,,,
"Улитки по-лионски с чесночным багетом ",,,,
МОКТЕЙЛИ Имбирный с мятой и кафирским лаймом,,,,
Узвар Гвидон,,,,
Рататуй,,,,
Десерт три шоколада,,,,
Лосось с мандаринами и жареной брокколи,,,,
Черная треска с цитрусовым шардоне и кумкватом,,,,
Филе миньон со шпинатом и картофельным гратеном,,,,
"Паштет из утки с фуа-гра, каштановым медом и черным трюфелем",,,,
Карпаччо из лосося с щавелем и соусом из крапивы,,,,
Кокот из сморчков с крабом,,,,
Гребешок с земляникой и молодым миндалем,,,,
"Краб, авокадо и фруктовый бальзамик",,,,
Террин из фуа-гра с финиками и инжиром,,,,
ДЕСЕРТЫ Шу с облепихой и кремом «Патисьер»,,,,
